TITLE,DESCRIPTION,PRICE,TAGS,IMAGE1,ID,AVAILABILITY,LINK
"Women's Pearl Choker Necklace, Sterling Silver Pearl Necklace, Bead Pearl Necklace","Pearl Choker Necklace 
•  Baroque Pearl  
• .925 sterling silver 
• Lobster claw closure 

Measurements 
• 15, 17 or 19 inch necklace
• Adjustable 3 or 4 inch chain 
• Beads measure 4.5mm

*Necklace sizes are the total length; including the adjustable chain.

💎 Metaphysical Healing 
Pearls are an ancient amulet stone, which connects us with the feminine principal or the intuitive capabilities.

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of ourselves internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.**

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking the link below. 
ARTLESSessentials.etsy.com",33,"Women's_Pearl_Choker,Necklace,Sterling_Silver,Pearl_Necklace,Beaded,Pearl,Necklaces,Gemstone_Choker,Rosary_Choker,White_Choker",https://i.etsystatic.com/14453421/r/il/f1d1de/1909085307/il_fullxfull.1909085307_nz7j.jpg,PIN-101,IN STOCK,https://www.etsy.com/listing/553805751/womens-pearl-choker-necklace-sterling
"Men's Black Onyx Bead Necklace, Men's Black Bead Necklace, Black Onyx Jewelry","Black Onyx Bead Necklace 
• Black onyx 
• Sterling silver
• Stainless steel 
• Beads measure 6mm
• 24 and 30 inch necklace length 
• Strung on durable beading wire

*Please allow 1-3 days for your necklace to be made. 

 💎 Metaphysical Healing
 Black onyx is an ancient healing stone known for its protective energies of repelling negative vibrations. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry from my shop by clicking the link below.
ARTLESSessentials.etsy.com
I thank you kindly for stopping by!",66,"Men's_Black_Onyx,Beaded_Necklace,Men's_Beaded,Necklaces,Black_Onyx_Jewelry,Black_Onyx_Necklace,For_Men,Spiritual_Jewelry,Spiritual_Bead,Necklace",https://i.etsystatic.com/14453421/r/il/ace97e/1429267248/il_fullxfull.1429267248_3e9f.jpg,PIN-101,IN STOCK,https://www.etsy.com/listing/578244474/mens-black-onyx-bead-necklace-mens-black
"Genuine Emerald Bracelet, May Birthstone Bracelet, Gold Emerald Bracelet","Natural Emerald Bracelet 

Details
• Genuine Emerald
• 14k Gold-filled | Chain extender
• Lobster clasp closure 
• Beads measure 4mm 

Choose between satin gold beading wire or stretch fiber options:
• The stretch/elastic fiber cord allows more flexibility, while the satin gold beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

Metaphysical Healing 💎
Emerald strengthens our expression of love through enhancing communication and positive thinking. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQs for more info.**

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",55,"Genuine_Emerald,Bracelet,May_Birthstone,Gold,Emerald_Bracelet",https://i.etsystatic.com/14453421/r/il/05cb6e/1391632196/il_fullxfull.1391632196_7cxq.jpg,PIN-102,IN STOCK,https://www.etsy.com/listing/544116413/genuine-emerald-bracelet-may-birthstone
"Men's Tiger Eye Bracelet, Tiger Eye Beaded Bracelet, Men's Gemstone Bracelet, Beaded Stretch Bracelet","Men's/Unisex Tiger's Eye Bracelet
• Tiger eye 
• Gold-plated hematite 
• Black onyx 
• 6 or 8mm bead measurement 
• Made using professional, durable stretch cord
    ∙ Model in photo has on 6mm beads

Metaphysical Healing 💎
Tiger Eye can help restore balance between self-confidence and humbleness. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking the link below. 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",29.99,"Men's_Tiger_Eye,Bracelet,Men's_Bead_Bracelet,Genuine,Tiger_Eye_Bracelet,Tiger_Eye,Bead_Bracelet,Gemstone_Bracelet,For_Men",https://i.etsystatic.com/14453421/r/il/42a52a/1771788978/il_fullxfull.1771788978_toay.jpg,PIN-103,IN STOCK,https://www.etsy.com/listing/530762154/mens-tiger-eye-bracelet-tiger-eye-beaded
"Chakra Healing Bracelets, Meditation Chakra Bracelet, Handmade Spiritual Bracelet","Focal Point Chakra Healing Bracelets 
• Made with natural gemstone beads 
• Rudraksha seed beads 
• Sterling silver 
• Beads measure ~6mm
• Made using professional, durable stretch cord

Each bracelet is made with green aventurine, clear quartz, red garnet, purple amethyst, turquoise, citrine and carnelian agate. 
These gemstones are connected to each of the 7 chakras. 

💎 Metaphysical Healing 
Chakras are energy channels, which influence the balance of your energy flow. This balance is connected to the functioning of your nervous system. More importantly, each chakras hold a specific spiritual concept and meaning which are significant to the spiritual healing process. 

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here:
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",22.99,,https://i.etsystatic.com/14453421/r/il/b8afed/2468267558/il_fullxfull.2468267558_ej7q.jpg,PIN-104,IN STOCK,https://www.etsy.com/listing/854558569/chakra-healing-bracelets-meditation
"Black Onyx Bracelet, Black Spinel Bracelet, Black Tourmaline Bracelet","Black & White Gemstone Bracelet 
• Black onyx, tourmaline or spinel beads w/ rainbow moonstone 
• Sterling silver 
• 4mm beads

Made on gold or sterling silver beading wire. 

💎 Metaphysical Healing
Black spinel, tourmaline and onyx are popular protection and grounding stones. Black onyx is most common in jewelry and helps with fear and insecurity. Black spinel is most rarely found, and helps with communication and inspiration. Black tourmaline is commonly used as an EMF protection stone. 

Moonstone reminds us to nurture our emotions and feelings in a healthy manner. 

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info.*

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*",22,"Black_Gemstone,Bracelet_For_Women,Black_Beaded,Black_Spinel",https://i.etsystatic.com/14453421/r/il/b4c764/3262345552/il_fullxfull.3262345552_2mgn.jpg,PIN-105,IN STOCK,https://www.etsy.com/listing/546229419/black-onyx-bracelet-black-spinel
"Lapis Lazuli Bead Bracelet, Sterling Silver Lapis Lazuli Bracelet, Lapis Lazuli Jewelry","Lapis Lazuli Bead Bracelet 
• Lapis Lazuli 
• Sterling silver 
• 4.5mm beads

Choose between satin silver beading wire or elastic fiber options:
• The elastic/stretch fiber cord allows more flexibility, while the satin silver beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

💎 Metaphysical Healing
Lapis Lazuli is great for creative thought and protection against evil eye and psychic attack.

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",24.99,"Lapis_Lazuli_Bead,Bracelet,Sterling_Silver,Lapis_Lazuli,Beaded_Bracelet,Dainty,Bead,Stretch_Bracelet,Women's_Gemstone,Jewelry",https://i.etsystatic.com/14453421/r/il/a6f7bd/3084012416/il_fullxfull.3084012416_9foe.jpg,PIN-106,IN STOCK,https://www.etsy.com/listing/545378397/lapis-lazuli-bead-bracelet-sterling
"Women's Labradorite Bracelet, Labradorite Bead Bracelet, Labradorite Sterling Silver Bracelet, Labradorite Jewelry","Labradorite Bead Bracelet   
• Labradorite 
• Sterling silver 
• 4.5mm beads

Choose between satin silver beading wire or elastic fiber options:
• The elastic/stretch fiber cord allows more flexibility, while the satin silver beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

Metaphysical Healing 💎 
Labradorite is a self-healing, intuitive and meditation stone, which reminds us to find peace during stressful times.

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*

*A portion of your purchase will be contributed towards Aid Africa, a charitable organization. Aid Africa helps to improve the lives of many women and their families by rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",30,"Women's_Labradorite,Bracelet,Labradorite_Bead,Labradorite,Sterling_Silver,Genuine_Labradorite,Gemstone_Bracelet",https://i.etsystatic.com/14453421/r/il/01821d/3072653977/il_fullxfull.3072653977_hxy7.jpg,PIN-107,IN STOCK,https://www.etsy.com/listing/537860051/womens-labradorite-bracelet-labradorite
"Lapis Lazuli Bracelet, Men's Bracelet, Beaded Bracelet, Lapis Lazuli Jewelry","Lapis Lazuli Beaded Bracelet 

Details 
•  Lapis lazuli 
•  Black onyx
•  Hematite
•  Beads measure ~6mm

Metaphysical Healing 💎
Lapis Lazuli is great for creative thought and protection against evil eye and psychic attack. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",29.99,"Men's_Lapis_Lazuli,Beaded_Bracelet,For_Men,Blue,Lapis_Lazuli,Bracelet,Lapis,Beaded_Bracelets,Lapis_Lazuli_Jewelry,Men's,Gemstone_Jewelry,Bead_Bracelets,Gemstone_Bracelet",https://i.etsystatic.com/14453421/r/il/cb7f4e/1461988772/il_fullxfull.1461988772_cvhp.jpg,PIN-108,IN STOCK,https://www.etsy.com/listing/523843406/lapis-lazuli-bracelet-mens-bracelet
"Ruby Birthstone Bracelet, Ruby Bead Bracelet For Women, Ruby Jewelry For Women","Natural Ruby Gemstone Bracelet 
• Ruby 
• 14k Gold-filled | Chain extension
• Beads measure 5.5-6mm 

Choose between satin gold beading wire or elastic fiber options:
• The elastic fiber cord allows more flexibility, while the satin gold beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together. 

Metaphysical Healing 💎 
Ruby is a gemstone of the sun and symbolize enlightenment. 
It can help prevent one from losing touch with their soul purpose. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.** 

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",55,"Ruby_Birthstone,Bracelet,Ruby_Bead_Bracelet,For_Women,Ruby_Jewelry,Ruby_Bracelet_Gold,Natural_Ruby,Raw_Ruby,Bracelets,Gemstone_Bracelet",https://i.etsystatic.com/14453421/r/il/23eeab/3105797510/il_fullxfull.3105797510_6efn.jpg,PIN-109,IN STOCK,https://www.etsy.com/listing/577045831/ruby-birthstone-bracelet-ruby-bead
